Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A401,Arduino_Due_Shield,Arduino_Due_Shield,163.838,-132.37,180.0,top
C301,25V 2200uF 16x16.5,CP_Elec_16x17.5,98.269,-135.98,-90.0,top
C302,10uF 50V,CP_EIA-7343-31_Kemet-D,87.769,-102.555,-90.0,top
C303,10uF 50V,CP_EIA-7343-31_Kemet-D,88.144,-120.44,-90.0,top
C304,10uF 50V,CP_EIA-7343-31_Kemet-D,66.169,-101.955,-90.0,top
C305,10uF 50V,CP_EIA-7343-31_Kemet-D,88.119,-83.9575,-90.0,top
C306,10uF 50V,CP_EIA-7343-31_Kemet-D,66.544,-119.94,-90.0,top
C307,10uF 50V,CP_EIA-7343-31_Kemet-D,66.519,-83.4575,-90.0,top
D301,SS10100,D_SMC,83.169,-135.58,180.0,top
D302,SMAZ27-ZJN,D_SMA,87.469,-142.88,-90.0,top
D303,SS10100,D_SMC,99.969,-120.28,-90.0,top
D304,1N4002 M2,D_SMA,66.169,-93.955,-90.0,top
D305,1N4002 M2,D_SMA,82.144,-112.34,180.0,top
D306,1N4002 M2,D_SMA,82.119,-75.9575,180.0,top
D307,WHITE,LED_1210_3225Metric,75.819,-94.555,0.0,top
D308,GREEN,LED_1210_3225Metric,76.244,-112.48,0.0,top
D309,YELLOW,LED_1210_3225Metric,76.219,-76.0575,0.0,top
D310,BLUE,LED_1210_3225Metric,87.219,-129.68,-90.0,top
D311,SS10100,D_SMC,79.969,-142.43,180.0,top
D501,RED,LED_1210_3225Metric,74.544,-66.8625,0.0,top
D502,SMAJ24A,D_SMA,76.044,-46.7,0.0,top
D503,RED,LED_1210_3225Metric,84.444,-66.84,0.0,top
D504,SMAJ24A,D_SMA,85.7065,-46.64,0.0,top
D505,RED,LED_1210_3225Metric,94.569,-66.83,0.0,top
D506,SMAJ24A,D_SMA,96.069,-46.83,0.0,top
D507,RED,LED_1210_3225Metric,104.5315,-66.8425,0.0,top
D508,SMAJ24A,D_SMA,105.869,-46.7425,0.0,top
D509,RED,LED_1210_3225Metric,124.569,-66.79,0.0,top
D510,SMAJ24A,D_SMA,125.969,-46.79,0.0,top
D511,RED,LED_1210_3225Metric,134.469,-66.68,0.0,top
D512,SMAJ24A,D_SMA,135.569,-46.68,0.0,top
D513,RED,LED_1210_3225Metric,94.869,-95.48,0.0,top
D514,SMAJ24A,D_SMA,96.469,-75.48,0.0,top
D515,RED,LED_1210_3225Metric,105.069,-95.58,0.0,top
D516,SMAJ24A,D_SMA,106.469,-75.48,0.0,top
D519,RED,LED_1210_3225Metric,115.269,-95.58,0.0,top
D520,SMAJ24A,D_SMA,116.269,-75.42,0.0,top
D521,RED,LED_1210_3225Metric,114.469,-66.88,0.0,top
D522,SMAJ24A,D_SMA,115.269,-46.88,0.0,top
D701,BLUE,LED_1210_3225Metric,142.369,-70.38,0.0,top
D702,BLUE,LED_1210_3225Metric,142.369,-75.38,0.0,top
D703,BLUE,LED_1210_3225Metric,142.369,-80.38,0.0,top
D704,BLUE,LED_1210_3225Metric,142.369,-85.38,0.0,top
D705,BLUE,LED_1210_3225Metric,142.369,-90.38,0.0,top
D706,BLUE,LED_1210_3225Metric,142.369,-95.38,0.0,top
D707,BLUE,LED_1210_3225Metric,142.369,-100.38,0.0,top
D708,BLUE,LED_1210_3225Metric,172.369,-70.38,0.0,top
D709,BLUE,LED_1210_3225Metric,172.369,-75.38,0.0,top
D710,BLUE,LED_1210_3225Metric,172.369,-80.38,0.0,top
D711,BLUE,LED_1210_3225Metric,172.369,-85.38,0.0,top
D712,BLUE,LED_1210_3225Metric,172.369,-90.38,0.0,top
D713,BLUE,LED_1210_3225Metric,172.369,-95.38,0.0,top
D714,BLUE,LED_1210_3225Metric,172.369,-100.38,0.0,top
D715,BLUE,LED_1210_3225Metric,202.369,-70.38,0.0,top
D716,BLUE,LED_1210_3225Metric,202.369,-75.38,0.0,top
D801,BLUE,LED_1210_3225Metric,202.369,-80.38,0.0,top
F501,Fuse,Fuseholder_Clip-5x20mm_Keystone_3512P_Inline_P23.62x7.27mm_D1.02x2.41x1.02x1.57mm_Horizontal,66.169,-57.18,-90.0,top
IC401,AT24C256C-MAHL-E,SON50P300X200X60-9L,110.969,-145.8675,0.0,top
IC701,LTV-846S,LTV846S,150.969,-56.68,0.0,top
IC702,LTV-846S,LTV846S,170.169,-56.68,0.0,top
IC703,LTV-846S,LTV846S,208.569,-56.78,0.0,top
IC704,LTV-846S,LTV846S,189.369,-56.68,0.0,top
IC801,LTV-846S,LTV846S,129.269,-84.88,0.0,top
J201,Conn_02x07_Odd_Even,IDC-Header_2x07_P2.54mm_Vertical,106.149,-37.65,-90.0,top
J301,Barrel_Jack_MountingPin,BarrelJack_Wuerth_6941xx301002,73.469,-132.63,-90.0,top
J408,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,131.919,-35.68,180.0,top
J501,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,152.75,-36.25,180.0,top
J601,Conn_02x10_Odd_Even,IDC-Header_2x10_P2.54mm_Vertical,184.32,-37.77,-90.0,top
Q501,IRFR7540TRPBF,IRFR7540TRPBF,75.944,-55.385,0.0,top
Q502,IRFR7540TRPBF,IRFR7540TRPBF,85.7065,-55.365,0.0,top
Q503,IRFR7540TRPBF,IRFR7540TRPBF,95.969,-55.515,0.0,top
Q504,IRFR7540TRPBF,IRFR7540TRPBF,105.969,-55.4675,0.0,top
Q505,IRFR7540TRPBF,IRFR7540TRPBF,125.969,-55.515,0.0,top
Q506,IRFR7540TRPBF,IRFR7540TRPBF,135.569,-55.405,0.0,top
Q507,IRFR7540TRPBF,IRFR7540TRPBF,96.469,-84.205,0.0,top
Q508,IRFR7540TRPBF,IRFR7540TRPBF,106.569,-84.205,0.0,top
Q509,IRFR7540TRPBF,IRFR7540TRPBF,116.469,-84.205,0.0,top
Q510,IRFR7540TRPBF,IRFR7540TRPBF,115.469,-55.605,0.0,top
Q701,BSS138 JI,SOT-23,130.9065,-142.23,0.0,top
Q702,BSS138 JI,SOT-23,121.719,-140.18,180.0,top
Q703,BSS138 JI,SOT-23,130.9065,-138.68,0.0,top
Q704,BSS138 JI,SOT-23,121.719,-136.68,180.0,top
Q705,BSS138 JI,SOT-23,130.9065,-135.23,0.0,top
Q706,BSS138 JI,SOT-23,121.719,-133.18,180.0,top
Q707,BSS138 JI,SOT-23,130.9065,-131.73,0.0,top
Q708,BSS138 JI,SOT-23,121.719,-129.68,180.0,top
Q709,BSS138 JI,SOT-23,130.9065,-128.23,0.0,top
Q710,BSS138 JI,SOT-23,121.719,-126.18,180.0,top
Q711,BSS138 JI,SOT-23,130.9065,-124.73,0.0,top
Q712,BSS138 JI,SOT-23,121.9065,-122.68,180.0,top
Q713,BSS138 JI,SOT-23,130.9065,-121.23,0.0,top
Q714,BSS138 JI,SOT-23,121.7815,-119.18,180.0,top
Q715,BSS138 JI,SOT-23,130.9065,-117.73,0.0,top
Q716,BSS138 JI,SOT-23,121.9065,-115.7,180.0,top
Q801,BSS138 JI,SOT-23,130.969,-114.18,0.0,top
R301,300R,R_1206_3216Metric,82.469,-106.855,0.0,top
R302,900R,R_1206_3216Metric,82.469,-109.155,180.0,top
R303,300R,R_1206_3216Metric,82.869,-124.68,0.0,top
R304,2K580,R_1206_3216Metric,82.869,-126.98,180.0,top
R305,300R,R_1206_3216Metric,82.969,-88.28,0.0,top
R306,470R,R_1206_3216Metric,84.169,-91.78,-90.0,top
R307,22R,R_1206_3216Metric,81.869,-91.78,90.0,top
R308,200R,R_1206_3216Metric,71.119,-93.055,0.0,top
R309,900R,R_1206_3216Metric,71.544,-110.94,0.0,top
R310,30R,R_1206_3216Metric,71.519,-74.4175,0.0,top
R311,2100R,R_1206_3216Metric,88.219,-126.18,180.0,top
R401,4K7,R_0805_2012Metric,113.969,-144.23,-90.0,top
R402,4K7,R_0805_2012Metric,113.969,-147.93,-90.0,top
R501,10K,R_1206_3216Metric,74.544,-64.0625,180.0,top
R502,10K,R_1206_3216Metric,84.444,-63.94,180.0,top
R503,10K,R_1206_3216Metric,94.569,-64.03,180.0,top
R504,10K,R_1206_3216Metric,104.5315,-64.0425,180.0,top
R505,200R,R_1206_3216Metric,78.044,-66.1,-90.0,top
R506,200R,R_1206_3216Metric,87.944,-66.14,-90.0,top
R507,200R,R_1206_3216Metric,98.069,-66.13,-90.0,top
R508,200R,R_1206_3216Metric,108.0315,-66.1425,-90.0,top
R509,10K,R_1206_3216Metric,124.569,-63.99,180.0,top
R510,10K,R_1206_3216Metric,134.469,-63.88,180.0,top
R511,10K,R_1206_3216Metric,94.869,-92.58,180.0,top
R512,10K,R_1206_3216Metric,105.069,-92.68,180.0,top
R513,200R,R_1206_3216Metric,128.069,-66.09,-90.0,top
R514,200R,R_1206_3216Metric,137.969,-66.0175,-90.0,top
R515,200R,R_1206_3216Metric,98.369,-94.78,-90.0,top
R516,200R,R_1206_3216Metric,108.669,-94.78,-90.0,top
R517,10K,R_1206_3216Metric,115.269,-92.58,180.0,top
R518,10K,R_1206_3216Metric,114.469,-63.88,180.0,top
R521,200R,R_1206_3216Metric,118.869,-94.88,-90.0,top
R522,200R,R_1206_3216Metric,118.069,-66.18,-90.0,top
R701,200R,R_1206_3216Metric,142.369,-70.38,0.0,bottom
R702,200R,R_1206_3216Metric,142.369,-75.38,0.0,bottom
R703,1K140,R_0805_2012Metric,143.194,-47.78,0.0,top
R704,1K140,R_0805_2012Metric,143.194,-52.88,0.0,top
R705,1K140,R_0805_2012Metric,143.1815,-57.98,0.0,top
R706,1K140,R_0805_2012Metric,143.194,-63.08,0.0,top
R707,1K140,R_0805_2012Metric,162.519,-47.83,0.0,top
R708,1K140,R_0805_2012Metric,162.419,-52.83,0.0,top
R709,1K140,R_0805_2012Metric,162.419,-57.93,0.0,top
R710,1K140,R_0805_2012Metric,162.419,-63.03,0.0,top
R711,200R,R_1206_3216Metric,142.369,-80.38,0.0,bottom
R712,200R,R_1206_3216Metric,142.369,-85.38,0.0,bottom
R713,20K,R_0805_2012Metric,158.694,-50.38,0.0,top
R714,20K,R_0805_2012Metric,158.694,-55.38,0.0,top
R715,20K,R_0805_2012Metric,158.694,-60.48,0.0,top
R716,20K,R_0805_2012Metric,158.694,-65.58,0.0,top
R717,20K,R_0805_2012Metric,177.919,-50.33,0.0,top
R718,20K,R_0805_2012Metric,177.919,-55.43,0.0,top
R719,20K,R_0805_2012Metric,177.919,-60.53,0.0,top
R720,20K,R_0805_2012Metric,177.919,-65.63,0.0,top
R721,200R,R_1206_3216Metric,142.369,-90.38,0.0,bottom
R722,200R,R_1206_3216Metric,142.369,-95.38,0.0,bottom
R723,200R,R_1206_3216Metric,142.369,-100.38,0.0,bottom
R724,200R,R_1206_3216Metric,172.369,-70.38,0.0,bottom
R725,200R,R_1206_3216Metric,172.369,-75.38,0.0,bottom
R726,200R,R_1206_3216Metric,172.369,-80.38,0.0,bottom
R727,1K140,R_0805_2012Metric,200.919,-47.89,0.0,top
R728,1K140,R_0805_2012Metric,200.819,-52.99,0.0,top
R729,1K140,R_0805_2012Metric,200.819,-57.99,0.0,top
R730,1K140,R_0805_2012Metric,200.819,-63.19,0.0,top
R731,1K140,R_0805_2012Metric,181.619,-47.83,0.0,top
R732,1K140,R_0805_2012Metric,181.619,-52.83,0.0,top
R733,1K140,R_0805_2012Metric,181.619,-57.93,0.0,top
R734,1K140,R_0805_2012Metric,181.519,-63.03,0.0,top
R735,200R,R_1206_3216Metric,172.369,-85.38,0.0,bottom
R736,200R,R_1206_3216Metric,172.369,-90.38,0.0,bottom
R737,20K,R_0805_2012Metric,216.319,-50.49,0.0,top
R738,20K,R_0805_2012Metric,216.319,-55.49,0.0,top
R739,20K,R_0805_2012Metric,216.319,-60.59,0.0,top
R740,20K,R_0805_2012Metric,216.319,-65.69,0.0,top
R741,20K,R_0805_2012Metric,197.119,-50.33,0.0,top
R742,20K,R_0805_2012Metric,197.119,-55.43,0.0,top
R743,20K,R_0805_2012Metric,197.119,-60.53,0.0,top
R744,20K,R_0805_2012Metric,197.119,-65.53,0.0,top
R745,200R,R_1206_3216Metric,172.370151,-95.38,0.0,bottom
R746,200R,R_1206_3216Metric,172.369,-100.38,0.0,bottom
R747,200R,R_1206_3216Metric,202.370151,-70.375705,0.0,bottom
R748,200R,R_1206_3216Metric,202.369,-75.38,0.0,bottom
R801,1K140,R_0805_2012Metric,121.519,-75.99,0.0,top
R805,20K,R_0805_2012Metric,137.019,-78.59,0.0,top
R809,200R,R_1206_3216Metric,202.369,-80.38,0.0,bottom
TP701,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,197.769,-84.78,0.0,top
TP702,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,197.769,-91.88,0.0,top
TP703,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,197.869,-98.78,0.0,top
TP704,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,202.819,-84.78,0.0,top
TP705,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,202.819,-91.88,0.0,top
TP706,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,202.919,-98.78,0.0,top
TP707,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,207.869,-84.78,0.0,top
TP708,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,207.869,-91.88,0.0,top
TP709,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,207.969,-98.78,0.0,top
TP710,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,212.919,-84.78,0.0,top
TP711,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,212.919,-91.88,0.0,top
TP712,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,213.019,-98.78,0.0,top
TP713,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,217.969,-84.78,0.0,top
TP714,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,217.969,-91.88,0.0,top
TP715,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,218.069,-98.78,0.0,top
TP716,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,94.219,-116.93,0.0,top
TP717,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,88.719,-74.18,0.0,top
TP801,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,76.969,-38.43,0.0,top
U301,LM1084-ADJ,TO-263-3_TabPin2,76.969,-101.98,180.0,top
U302,LM1084-ADJ,TO-263-3_TabPin2,77.369,-119.88,180.0,top
U303,LM1084-ADJ,TO-263-3_TabPin2,77.344,-83.4175,180.0,top
